Core,lat,lon,depth,Mg/Ca,d18O,O18T,reductive,mean_size,Reference,Notes
NEAP12B,58.4,-23.9,2786,1.52,NA,7.7,Y,328,Yu et al. 2008,
NEAP13B,58.6,-24.2,2546,1.92,NA,7.6,Y,328,Yu et al. 2008,
NEAP15B,57.4,-25.4,2703,1.57,NA,7.9,Y,328,Yu et al. 2008,
NEAP16B,56.2,-27.5,2847,1.64,NA,,Y,328,Yu et al. 2008,
NEAP17B,56.1,-27.2,2734,1.55,NA,8,Y,328,Yu et al. 2008,
NEAP18B,54.4,-28.2,2879,1.38,NA,8,Y,328,Yu et al. 2008,
NEAP19B,52.5,-30.2,3283,1.67,NA,8,Y,328,Yu et al. 2008,
NEAP20B,42.3,-28.2,2878,2.31,NA,NA,Y,328,Yu et al. 2008,
T861B,53.4,-27.5,2580,1.97,NA,9.5,Y,328,Yu et al. 2008,
T863B,50.2,-27,3113,2.44,NA,14.2,Y,328,Yu et al. 2008,
T865B,46.9,-25.4,3121,2.49,NA,13.7,Y,328,Yu et al. 2008,
T867B,43.9,-25,2664,2.67,NA,14.5,Y,328,Yu et al. 2008,
T868B,42.3,-25.7,3232,2.51,NA,14.3,Y,328,Yu et al. 2008,
T869B,40.8,-27.5,2026,2.39,NA,13.7,Y,328,Yu et al. 2008,
T882B,57.9,-26,2767,1.5,NA,8.3,Y,328,Yu et al. 2008,
T883B,56.4,-27.8,2819,1.64,NA,8.4,Y,328,Yu et al. 2008,
T884B,55,-28.3,2821,2.01,NA,9.3,Y,328,Yu et al. 2008,
T885B,53.6,-27.1,2812,2.13,NA,9.9,Y,328,Yu et al. 2008,
T886B,51.4,-25.8,3381,1.85,NA,11.1,Y,328,Yu et al. 2008,
T887B,50.5,-26.5,3013,2.49,NA,11.8,Y,328,Yu et al. 2008,
T889B,48.4,-25.1,3074,2.32,NA,11.2,Y,328,Yu et al. 2008,
T8811B,45.4,-25.4,2741,2.65,NA,15.2,Y,328,Yu et al. 2008,
T8812B,44.1,-24.9,3052,2.68,NA,14.4,Y,328,Yu et al. 2008,
T8813B,42.9,-25.3,3133,2.56,NA,14.4,Y,328,Yu et al. 2008,
T8814B,40.4,-25.8,2858,2.21,NA,14.1,Y,328,Yu et al. 2008,
T8815aB,38.9,-25,2738,2.82,NA,14.7,Y,328,Yu et al. 2008,
T8815B,38.6,-25,2585,2.63,NA,14.5,Y,328,Yu et al. 2008,
T901B,58.5,-20.5,2911,1.9,NA,7.9,Y,328,Yu et al. 2008,
T902B,53.1,-20.8,2731,1.98,NA,10.2,Y,328,Yu et al. 2008,
T903B,47.7,-20.8,4479,1.84,NA,13.5,Y,328,Yu et al. 2008,
T904B,47.2,-21.4,3945,2.26,NA,12.6,Y,328,Yu et al. 2008,
T905B,46,-23.8,3069,2.17,NA,14.1,Y,328,Yu et al. 2008,
T908B,46.2,-23.7,3393,2.51,NA,14.3,Y,328,Yu et al. 2008,
T9011B,45,-24.7,3208,2.38,NA,15,Y,328,Yu et al. 2008,
T9015B,47.6,-20.9,4177,1.95,NA,12,Y,328,Yu et al. 2008,
ERDC112BX5-8,-1.63,159.24,2168,2.5,-0.93,18,Y,303,Quintana Krupinski 2017,
EW0408-15MC82-4,55.55,-134.71,296,1.1,1.02,5.2,Y,303,Quintana Krupinski 2017,
EW0408-68MC11-3,59.44,-140.25,238,1.1,1.36,NA,Y,303,Quintana Krupinski 2017,
NH0312-04-2MC40-2,33.24,-118.63,1325,2.2,0.46,11.3,Y,303,Quintana Krupinski 2017,
NH0312-17-9MC40-2,32.17,-117.73,1849,1.4,1.89,NA,Y,303,Quintana Krupinski 2017,
OC170-010-1092-4,-36.07,-107.19,3437,1.5,2.77,1,Y,303,Quintana Krupinski 2017,
OC170-SR1551-3,-39.02,-109.73,3170,1.4,2.82,0.8,Y,303,Quintana Krupinski 2017,
OC170-SR1571-3,-39.02,-110.52,2811,1.5,2.28,3.2,Y,303,Quintana Krupinski 2017,
OC170-SR1680-3,-39.03,-113.03,3302,1.5,2.61,1.7,Y,303,Quintana Krupinski 2017,
PCM99-57C0-2,24.55,-110.48,260,3.6,-0.49,16,Y,303,Quintana Krupinski 2017,
PCM99-63C0-2,24.62,-110.63,400,3.4,-1.31,19.7,Y,303,Quintana Krupinski 2017,
PCM99-68AC0-2,24.75,-110.59,360,3.5,-1.02,18.4,Y,303,Quintana Krupinski 2017,
RR0503-10TC2-4,-44.79,179.57,2080,1.5,1.9,6.3,Y,303,Quintana Krupinski 2017,
RR0503-28TC2-4,-42.07,-177.63,2418,2.2,0.69,,Y,303,Quintana Krupinski 2017,
RR0503-48TC2-4,-39.89,179.98,3318,2.1,0.11,14.2,Y,303,Quintana Krupinski 2017,
RR0503-67TC2-4,-37.16,177.11,1883,3.1,-0.54,17.2,Y,303,Quintana Krupinski 2017,
RR0503-71TC2-4,-37.07,177.16,2006,2.2,-0.2,15.6,Y,303,Quintana Krupinski 2017,
RR9702A-10-MC41-3,-46.32,-76.54,2879,1.2,2.09,NA,Y,303,Quintana Krupinski 2017,
RR9702A-22MC32-4,-40.01,-74.12,430,1.5,0.76,NA,Y,303,Quintana Krupinski 2017,
RR9702A-54MC12-4,-21.36,-81.44,1323,2.5,0.18,13.5,Y,303,Quintana Krupinski 2017,
RR9702A-60MC42-4,-20.88,-81.5,2480,2.8,0.37,12.7,Y,303,Quintana Krupinski 2017,
RR9702A-64MC72-4,-17.04,-78.11,2930,2.7,-0.54,16.7,Y,303,Quintana Krupinski 2017,
SPR0901-10BC,34.28,-120.04,585.8,2.1,-0.15,14.1,Y,303,Quintana Krupinski 2017,
T785PC680-4,33.8,-118.65,826.6,2.8,-0.05,13.6,Y,303,Quintana Krupinski 2017,
TTN116-25TC2-4,47.79,-127.69,2660,1,0.5,7.6,Y,303,Quintana Krupinski 2017,
TTN116-61TC0-2,47.92,-128.57,2591,1,0.86,5.9,Y,303,Quintana Krupinski 2017,
V21-295,-1,-89.35,712,3.9,-0.67,16.8,Y,303,Quintana Krupinski 2017,
V21-30A0-2,-1.2,-89.7,617,4,-1.44,20.3,Y,303,Quintana Krupinski 2017,
V28-2301-3.5,-5.5,166.75,2992,3.5,-0.77,17.3,Y,303,Quintana Krupinski 2017,
VNTR01-12GC7-9,-3.01,-95.07,3535,3.5,-0.78,17.3,Y,303,Quintana Krupinski 2017,
VNTR01-13GC7-9,-3.09,-90.82,3304,3.1,-0.84,17.6,Y,303,Quintana Krupinski 2017,
VNTR01-14GC4-6,1.49,-89.86,1944,2.9,0.04,13.6,Y,303,Quintana Krupinski 2017,
VNTR01-15GC3-5,1.49,-89.86,1955,3.3,-1.45,20.3,Y,303,Quintana Krupinski 2017,
VNTR01-16PC4-6,2.61,-89.73,1546,3.3,-0.63,16.7,Y,303,Quintana Krupinski 2017,
VNTR01-17PC5-7,2.45,-89.33,1758,3.6,-0.19,14.7,Y,303,Quintana Krupinski 2017,
Y73-04-39MC20-2,-31.08,-112.72,2883,4.8,1.38,7.2,Y,303,Quintana Krupinski 2017,
Y73-04-51MC20-2,-32.48,-109.21,3307,2.5,1.48,6.8,Y,303,Quintana Krupinski 2017,
SO189-112MCc,3.87,96.01,81,9.86,-2.85,NA,N,303,Mohtadi et al. 2011,
SO189-104MC,3.2,96.78,1013,7.35,-3.13,NA,N,303,Mohtadi et al. 2011,
SO189-97MC,2.56,96.76,1136,7.67,-3.05,NA,N,303,Mohtadi et al. 2011,
SO189-101MC,2.49,97.12,767,8.06,-3.17,NA,N,303,Mohtadi et al. 2011,
SO189-64MCc,1.99,97.79,69,8.27,-3.35,NA,N,303,Mohtadi et al. 2011,
SO189-60MC,1.45,98.05,551,8,-3.03,NA,N,303,Mohtadi et al. 2011,
SO189-41MC,0.34,98.13,674,8.1,-3.21,NA,N,303,Mohtadi et al. 2011,
GeoB10022-6,-0.5,98.85,706,8.38,-3.18,NA,N,303,Mohtadi et al. 2011,
GeoB10025-3,-0.67,99.12,1149,7.36,-3.09,NA,N,303,Mohtadi et al. 2011,
SO189-147MC,-0.69,98.07,1052,8.02,-2.93,NA,N,303,Mohtadi et al. 2011,
GeoB10028-4,-0.7,99.76,522,7.75,-3.19,NA,N,303,Mohtadi et al. 2011,
GeoB10024-3,-0.77,99.27,1381,7.13,-3.17,NA,N,303,Mohtadi et al. 2011,
SO189-38MC,-0.79,99.91,517,8.04,-3.14,NA,N,303,Mohtadi et al. 2011,
GeoB10027-3,-0.81,99.65,875,7.84,-3.08,NA,N,303,Mohtadi et al. 2011,
SO189-35MC,-0.87,99.8,755,7.63,-3.2,NA,N,303,Mohtadi et al. 2011,
GeoB10008-4,-0.95,98.26,936,7.74,-3.25,NA,N,303,Mohtadi et al. 2011,
GeoB10010-1,-1.18,97.98,2937,6.67,-2.95,NA,N,303,Mohtadi et al. 2011,
SO189-34MC,-1.46,100.23,560,7.64,-3.04,NA,N,303,Mohtadi et al. 2011,
GeoB10029-3,-1.5,100.13,974,7.46,-3.28,NA,N,303,Mohtadi et al. 2011,
SO189-32MC,-1.62,100,1751,8.18,-3.17,NA,N,303,Mohtadi et al. 2011,
SO189-28MC,-1.67,99.68,1758,7.49,-3,NA,N,303,Mohtadi et al. 2011,
SO189-27MC,-1.88,99.61,1002,6.96,-2.91,NA,N,303,Mohtadi et al. 2011,
SO189-11MC,-3.83,101.23,911,6.6,-2.92,NA,N,303,Mohtadi et al. 2011,
SO189-09MC,-4.16,101.64,1128,6.44,-2.45,NA,N,303,Mohtadi et al. 2011,
GeoB10034-3,-4.16,101.5,995,6.3,-2.74,NA,N,303,Mohtadi et al. 2011,
SO189-03MC,-4.7,101.96,1707,6.81,-2.31,NA,N,303,Mohtadi et al. 2011,
GeoB10036-3,-5.34,103.66,1502,6.31,-2.67,NA,N,303,Mohtadi et al. 2011,
SO189-02MC,-5.48,103.01,1972,6.04,-2.61,NA,N,303,Mohtadi et al. 2011,
GeoB10039-3,-5.87,103.29,1799,6.59,-2.6,NA,N,303,Mohtadi et al. 2011,
GeoB10038-3,-5.94,103.25,1891,6.37,-2.81,NA,N,303,Mohtadi et al. 2011,
GeoB10041-3,-6.27,103.09,1540,6.06,-2.53,NA,N,303,Mohtadi et al. 2011,
GeoB10058-1,-8.68,112.64,1103,6.89,-2.49,NA,N,303,Mohtadi et al. 2011,
GeoB10059-1,-8.68,112.87,1372,5.65,-2.75,NA,N,303,Mohtadi et al. 2011,
GeoB10049-5,-8.78,110.5,1288,6.14,-2.59,NA,N,303,Mohtadi et al. 2011,
GeoB10050-1,-9.47,110.45,1221,4.96,-1.91,NA,N,303,Mohtadi et al. 2011,
GeoB10061-5,-9.73,113.2,2170,6.1,-2.58,NA,N,303,Mohtadi et al. 2011,
GeoB10065-9,-9.22,118.89,1284,5.75,-2.52,NA,N,303,Mohtadi et al. 2011,
GeoB10064-5,-9.54,118.3,2035,5.93,-2.72,NA,N,303,Mohtadi et al. 2011,
GeoB10063-5,-9.65,118.15,2495,6.7,-2.81,NA,N,303,Mohtadi et al. 2011,
GeoB10069-4,-9.6,120.92,1249,6.94,-2.56,NA,N,303,Mohtadi et al. 2011,
T861B,53.4,-27.5,2580,4.35,1.4,9.49,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T863B,50.2,-27,3113,2.4,1.2,14.22,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T865B,46.9,-25.4,3121,4.35,0.76,13.73,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T867B,43.9,-25,2664,5.49,0.64,14.48,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T868B,42.3,-25.7,3232,4.18,0.74,14.29,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T869B,40.8,-27.5,2026,4.35,0.87,13.73,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T8610B,37.1,-30,2610,3.4,0.47,15.92,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T881B,59.7,-27.4,2010,2.51,1.72,8.43,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T882B,57.9,-26,2767,1.97,1.76,8.27,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T883B,56.4,-27.8,2819,1.76,1.72,8.43,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T884B,55,-28.3,2821,2.01,1.44,9.33,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T885B,53.6,-27.1,2812,2.45,1.3,9.89,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T886B,51.4,-25.8,3381,1.99,1.17,11.1,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T887B,50.5,-26.5,3013,2.44,1.05,11.82,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T889B,48.4,-25.1,3074,2.71,0.59,11.2,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T8811B,45.4,-25.4,2741,3.19,0.41,15.22,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T8812B,44.1,-24.9,3052,3.57,0.67,14.35,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T8813B,42.9,-25.3,3133,2.65,0.65,14.43,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T8814B,40.4,-25.8,2858,2.76,0.85,14.05,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T8815B,38.6,-25,2585,3.59,0.74,14.52,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T8815A,38.9,-25,2738,2.87,0.64,14.71,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T8817B,35.4,-29.4,2934,2.87,0.7,15.64,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T8818B,33.7,-32.2,3257,3.11,1.3,13.2,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T901B,58.5,-20.49,2911,2.38,1.85,7.91,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T902B,53.06,-20.8,2731,2.35,1.22,10.22,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T903B,47.67,-20.81,4479,2.37,0.77,13.45,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T904B,47.17,-21.39,3945,2.32,0.97,12.61,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T905B,46,-23.85,3069,2.33,0.68,14.07,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T908B,46.21,-23.72,3393,2.56,0.62,14.33,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T9011B,45,-24.66,3208,2.66,0.47,14.97,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T9013B,44,-20.02,4016,2.42,0.7,14.22,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
T9015B,47.62,-20.92,4177,2.57,1.11,12.03,N,303,Elderfield and Ganssen 2000,size fraction assumed from Elderfield et al. 2000
