Core,lat,lon,depth,Mg/Ca,d18O,O18T,reductive,mean_size,Reference,Notes
ANTXI/3 2540-1,-70.06,-87.93,1822,0.61,3.17,1.6,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTXI/3 2526-1,-70.01,-80.06,580,0.62,3.44,0.6,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTIX/3 2037-2,-69.71,6.27,1646,0.72,3.55,0.7,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTIX/3 2064-2,-69.65,0.02,1580,0.57,3.55,0.6,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTXI/3 2525-1,-68.27,-73.44,453,0.68,3.44,0.6,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTVIII/6 1818-5,-67.75,33.31,805,0.67,4.36,-2.5,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTVIII/6 1815-2,-65.14,34.23,1539,0.66,4.45,-2.7,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTVI/2 1560-1,-64.61,-68.01,830,0.72,3.35,1.1,N,225,Vázquez Riveiros et al. 2016,Sinstral
MD84-551,-55.02,73.28,2230,0.58,3.15,1.8,N,225,Pichon et al. 1992,Sinstral
MD84-552,-54.92,73.83,1780,0.67,3.15,1.8,N,225,Dezileau et al. 2000,Sinstral
MD84-553,-54.68,76.63,1504,0.67,3.08,2.1,N,225,Vázquez Riveiros et al. 2016,Sinstral
MD87-744,-54.45,-40.52,1975,0.65,3.05,2.3,N,225,Vázquez Riveiros et al. 2016,Sinstral
MD87-745,-54.25,-40.48,1920,0.65,3.19,1.8,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTXI/2 2519-1,-53.22,-50.1,596,1.37,1.42,8.9,N,225,Vázquez Riveiros et al. 2016,Sinstral
MD80-304,-51.07,67.73,1930,0.64,2.94,2.6,N,225,Vázquez Riveiros et al. 2016,Sinstral
MD88-795,-50.84,68.02,1870,0.64,2.69,3.5,N,225,Vázquez Riveiros et al. 2016,Sinstral
MD84-563,-50.72,68.15,1720,0.8,2.71,3.4,N,225,Gersonde et al. 2005,Sinstral
MD04-2717G,-48.96,65.93,1500,0.71,2.59,3.9,N,225,Vázquez Riveiros et al. 2016,Sinstral
MD04-2721,-48.95,71.13,845,0.69,2.94,2.6,N,225,Vázquez Riveiros et al. 2016,Sinstral
MD04-2718,-48.89,65.96,1428,0.81,2.75,3.3,N,225,Vázquez Riveiros et al. 2016,Sinstral
MD84-568,-48.88,115.67,3330,0.98,2.98,2.5,N,225,Vázquez Riveiros et al. 2016,Sinstral
M29/1 2726-3,-48.39,-56.93,1405,0.64,3.48,1.3,N,225,Vázquez Riveiros et al. 2016,Sinstral
MD12-3394,-48.38,64.59,2320,0.78,2.58,4,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTIX/4 2083-1,-46.37,7.04,1955,0.71,4.01,-0.7,N,225,Vázquez Riveiros et al. 2016,Sinstral
MD00-2374,-46.03,96.48,3250,1.05,1.8,7.4,N,225,Vázquez Riveiros et al. 2016,Sinstral
MD12-3401Q,-44.68,80.39,3445,1.01,2.28,5.9,N,225,Vázquez Riveiros et al. 2016,Sinstral
MD07-3076Q,-44.15,-14.23,3770,1,1.95,7.5,N,225,Skinner et al. 2010,Sinstral
21295-4 ,77.983333,2.433333,3112,0.41,NA,NA,N,NA,Nurnberg et al. 1995,Sinstral; no clean-microprobe
21913-1,74.483333,5.4,2857,0.4,NA,NA,N,NA,Nurnberg et al. 1996,Sinstral; no clean-microprobe
23065-2 ,68.481,0.877,2804,0.61,NA,NA,N,NA,Nurnberg et al. 1997,Sinstral; no clean-microprobe
23359,65.517,-4.16,2821,0.42,NA,NA,N,NA,Nurnberg et al. 1998,Sinstral; no clean-microprobe
21-31220 ,59.266667,-20,2781,1.01,NA,NA,N,NA,Nurnberg et al. 1999,Sinstral; no clean-microprobe
21-3/217 ,54.7,-20.716667,2800,0.96,NA,NA,N,NA,Nurnberg et al. 2000,Sinstral; no clean-microprobe
21-3/209 ,47.183333,-19.55,4565,1.04,NA,NA,N,NA,Nurnberg et al. 2001,Sinstral; no clean-microprobe
23266-1 ,71.983,7.488,2768,0.58,NA,NA,N,NA,Nurnberg et al. 2002,Sinstral; no clean-microprobe
23227-1 ,70.083,11.583,2888,0.64,NA,NA,N,NA,Nurnberg et al. 2003,Sinstral; no clean-microprobe
23295-4 ,71.15,-5.872,1553,0.47,NA,NA,N,NA,Nurnberg et al. 2004,Sinstral; no clean-microprobe
23294-3 ,72.367,-10.595,2224,0.39,NA,NA,N,NA,Nurnberg et al. 2005,Sinstral; no clean-microprobe
21874-1 ,72.483333,-12.6,509,0.43,NA,NA,N,NA,Nurnberg et al. 2006,Sinstral; no clean-microprobe
23293-2 ,72.617,-6.592,2574,0.34,NA,NA,N,NA,Nurnberg et al. 2007,Sinstral; no clean-microprobe
23269-2 ,71.433,0.66,2872,0.49,NA,NA,N,NA,Nurnberg et al. 2008,Sinstral; no clean-microprobe
21323-3 ,65.5,0,3015,0.36,NA,NA,N,NA,Nurnberg et al. 2009,Sinstral; no clean-microprobe
23238-1 ,66.983,-7.74,989,0.54,NA,NA,N,NA,Nurnberg et al. 2010,Sinstral; no clean-microprobe
21900-7 ,74.533333,-2.333333,3538,0.43,NA,NA,N,NA,Nurnberg et al. 2011,Sinstral; no clean-microprobe
21893-2 ,74.866667,-10.116667,3245,0.47,NA,NA,N,NA,Nurnberg et al. 2012,Sinstral; no clean-microprobe
23297-1 ,70,0.07,3295,0.49,NA,NA,N,NA,Nurnberg et al. 2013,Sinstral; no clean-microprobe
21911-1 ,75.066667,2.983333,2326,0.39,NA,NA,N,NA,Nurnberg et al. 2014,Sinstral; no clean-microprobe
21909-1 ,77,-1,2488,0.4,NA,NA,N,NA,Nurnberg et al. 2015,Sinstral; no clean-microprobe
23298-2 ,68.317,1.485,2755,0.45,NA,NA,N,NA,Nurnberg et al. 2016,Sinstral; no clean-microprobe
2230-1 ,-34.753,17.357,2575,0.88,NA,NA,N,NA,Nurnberg et al. 2016,Sinstral; no clean-microprobe
2076-1,-41.135,13.481,2086,0.96,NA,NA,N,NA,Nurnberg et al. 2017,Sinstral; no clean-microprobe
2080- 1,-41.717,13.047,5078,0.44,NA,NA,N,NA,Nurnberg et al. 2018,Sinstral; no clean-microprobe
1750-7,-42.696,12.188,4753,0.53,NA,NA,N,NA,Nurnberg et al. 2019,Sinstral; no clean-microprobe
2081-1,-42.692,12.191,4794,0.52,NA,NA,N,NA,Nurnberg et al. 2020,Sinstral; no clean-microprobe
2083-1,-46.371,7.036,1955,0.48,NA,NA,N,NA,Nurnberg et al. 2021,Sinstral; no clean-microprobe
1754-2,-46.767,7.953,2476,0.36,NA,NA,N,NA,Nurnberg et al. 2022,Sinstral; no clean-microprobe
2084-2,-47.025,7.959,1664,0.44,NA,NA,N,NA,Nurnberg et al. 2023,Sinstral; no clean-microprobe
2086-3,-48.319,7.757,649,0.56,NA,NA,N,NA,Nurnberg et al. 2024,Sinstral; no clean-microprobe
1756-6,-48.895,6.728,3803,0.17,NA,NA,N,NA,Nurnberg et al. 2025,Sinstral; no clean-microprobe
2087-1,-49.134,6.706,3451,0.55,NA,NA,N,NA,Nurnberg et al. 2026,Sinstral; no clean-microprobe
1759-1,-50.153,5.755,3717,0.17,NA,NA,N,NA,Nurnberg et al. 2027,Sinstral; no clean-microprobe
1654-1,-50.158,5.723,3770,0.26,NA,NA,N,NA,Nurnberg et al. 2028,Sinstral; no clean-microprobe
1764-2,-50.852,5.672,3874,0.4,NA,NA,N,NA,Nurnberg et al. 2029,Sinstral; no clean-microprobe
2372- 1,-53.996,-6.003,2415,0.31,NA,NA,N,NA,Nurnberg et al. 2030,Sinstral; no clean-microprobe
2106-1,-41.854,0.083,912,0.42,NA,NA,N,NA,Nurnberg et al. 2031,Sinstral; no clean-microprobe
2105-2,-48.694,2.848,3618,0.43,NA,NA,N,NA,Nurnberg et al. 2032,Sinstral; no clean-microprobe
2104-1,-50.743,3.212,2592,0.15,NA,NA,N,NA,Nurnberg et al. 2033,Sinstral; no clean-microprobe
2102-1,-53.076,4.997,2388,0.28,NA,NA,N,NA,Nurnberg et al. 2034,Sinstral; no clean-microprobe
T86 1B,53.4,-27.5,2580,1.612,1.29,9.93,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T86 3B,50.2,-27,3113,1.216,1.27,13.92,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T86 5B,46.9,-25.4,3121,1.526,0.93,13.01,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T86 7B,43.9,-25,2664,2.12,0.8,13.8,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T86 8B,42.3,-25.7,3232,1.718,0.89,13.65,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T86 9B,40.8,-27.5,2026,2.042,1.19,12.39,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T86 10B,37.1,-30,2610,2.204,0.67,15.06,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T86 11B,35.6,-32.6,2220,2.476,1.33,NA,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 1B,59.7,-27.4,2010,1.772,1.24,10.36,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 2B,57.9,-26,2767,1.387,1.17,10.65,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 3B,56.4,-27.8,2819,1.182,1.32,10.04,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 4B,55,-28.3,2821,1.533,1.35,9.69,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 5B,53.6,-27.1,2812,1.282,1.47,9.2,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 6B,51.4,-25.8,3381,1.177,1.32,10.49,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 7B,50.5,-26.5,3013,1.369,0.98,12.11,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 9B,48.4,-25.1,3074,1.73,0.97,9.65,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 11B,45.4,-25.4,2741,1.781,0.96,12.88,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 12B,44.1,-24.9,3052,1.625,0.9,13.38,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 13B,42.9,-25.3,3133,2.206,0.86,13.54,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 14B,40.4,-25.8,2858,1.772,1.13,12.87,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 15B,38.6,-25,2585,1.722,0.65,14.91,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 15A,38.9,-25,2738,1.791,0.95,13.6,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 17B,35.4,-29.4,2934,2.062,1.42,12.58,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T88 18B,33.7,-32.2,3257,1.887,1.57,13.3,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T90 1B,58.5,-20.493,2911,1.209,NA,NA,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T90 2B,53.058,-20.798,2731,1.791,0.95,13.63,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T90 3B,47.673,-20.808,4479,1.38,NA,NA,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T90 4B,47.172,-21.387,3945,1.921,NA,NA,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T90 5B,45.995,-23.848,3069,1.364,NA,NA,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T90 8B,46.213,-23.715,3393,1.31,NA,NA,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T90 11B,44.997,-24.66,3208,1.547,NA,NA,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
T90 15B,47.62,-20.922,4177,1.355,NA,NA,N,303,Elderfield and Ganssen 2000,"Size fraction assumed from Elderfield et al., 2000"
