Species,Experiment type,Temp,Salinity,CO32-,Ω Calcite,pH,Mg/Ca,Reference
O. universa,high salinity,22.3,35.4,183,4.4,7.98,8.823,"Allen et al., 2016"
O. universa,pH experiments,22,33.7,71,1.7,7.61,9.41,"Allen et al., 2016"
O. universa,pH experiments,22,33.7,105,2.5,7.8,7.92,"Allen et al., 2016"
O. universa,pH experiments,22,33.9,197,4.8,8.07,6.82,"Allen et al., 2016"
O. universa,pH experiments,22,33.8,308,7.5,8.3,6.68,"Allen et al., 2016"
O. universa,pH experiments,22,33.6,398,9.7,8.43,6.42,"Allen et al., 2016"
O. universa,pH experiments,22,33.7,475,11.5,8.52,6.49,"Allen et al., 2016"
G. ruber,DE3-5-26 ,26.3,37,134,3.2,7.9,6.37,"Evans et al., 2016"
G. ruber,DE3-3-26 ,26.3,37,162,3.9,7.98,4.38,"Evans et al., 2016"
G. ruber,BK3-7.9,27,35,119,2.9,7.77,7.5,"Kisakurek et al., 2008"
G. ruber,BK3-8.1R,27,35,175,4.2,7.95,4.2,"Kisakurek et al., 2008"
G. ruber,BK3-8.3R,27,35,255,6.1,8.13,4.2,"Kisakurek et al., 2008"
G. ruber,BK3-8.4R,27,35,353,8.5,8.29,3.1,"Kisakurek et al., 2008"
G. ruber,BK1-32R,24,32.1,228,5.5,8.4,3.6,"Kisakurek et al., 2008"
G. ruber,BK1-35R,24,35,251,6.06,8.3,3.8,"Kisakurek et al., 2008"
G. ruber,BK1-38R,24,38,276,6.66,8.3,4.7,"Kisakurek et al., 2008"
G. ruber,BK1-41R,24,40.7,297,7.17,8.3,5.5,"Kisakurek et al., 2008"
G. ruber,BK1-44R,24,44.3,327,7.89,8.3,5.1,"Kisakurek et al., 2008"
G. ruber,BK2-18R,18,35,249,6.01,8.4,2.5,"Kisakurek et al., 2008"
G. ruber,BK2-21R,21,35,250,6.03,8.4,2.8,"Kisakurek et al., 2008"
G. ruber,BK2-24R,24,35,251,6.06,8.3,3.4,"Kisakurek et al., 2008"
G. ruber,BK2-27R,27,35,252,6.08,8.3,4.9,"Kisakurek et al., 2008"
G. ruber,BK2-30R,30,35,253,6.11,8.3,6.4,"Kisakurek et al., 2008"
G. bulloides,NA,22,33,51,1.2,7.47,6.33,"Lea et al., 1999"
G. bulloides,NA,22,33,282,6.8,8.37,3.67,"Lea et al., 1999"
O. universa,NA,22,33,78,1.9,7.67,10.12,"Lea et al., 1999"
O. universa,NA,22,33,325,7.8,8.47,6.15,"Lea et al., 1999"
G. bulloides,BH1,22,33.6,182,4.4,8.17,4.23,"Russell et al., 2004"
G. bulloides,BH2,22,33.8,196,4.8,8.2,3.82,"Russell et al., 2004"
G. bulloides,BH3,22,33.7,76,1.7,7.74,7.75,"Russell et al., 2004"
G. bulloides,BH4,22,33.7,468,11.3,8.65,2.69,"Russell et al., 2004"
O. universa,BH3,22,33.7,76,1.7,7.74,9.41,"Russell et al., 2004"
O. universa,BH6,22,33.7,111,2.7,7.93,7.92,"Russell et al., 2004"
O. universa,"AR1, BH2",22,33.8,205,5,8.22,6.82,"Russell et al., 2004"
O. universa,"AR3,BH5",22,33.8,306,7.4,8.42,6.68,"Russell et al., 2004"
O. universa,AR4,22,33.6,399,9.7,8.56,6.42,"Russell et al., 2004"
O. universa,"AR5, BH4",22,33.6,474,11.5,8.655,6.49,"Russell et al., 2004"
O. universa,AR6,15,33.8,171,4.1,8.22,3.53,"Russell et al., 2004"
O. universa,AR27,18,33.7,166,4,8.17,5.02,"Russell et al., 2004"
O. universa,AR9-12,25,34,216,5.3,8.21,9.6,"Russell et al., 2004"
O. universa,3,22.3,33.3,182,4.39,8.03,9.575,"Allen et al., 2011; Honisch et al., 2013"
O. universa,8,22.1,29.9,161,3.89,8.06,6.69,"Allen et al., 2011; Honisch et al., 2013"
O. universa,9,22.3,31.5,165,3.99,8.02,7.83,"Allen et al., 2011; Honisch et al., 2013"
O. universa,10,22.3,35.4,191,4.61,8,8.82,"Allen et al., 2011; Honisch et al., 2013"
G. sacculifer,5,25.7,33,184,4.5,7.99,3.55,"Allen et al., 2012; Honisch et al., 2013"
G. sacculifer,1,25.7,35.4,221,5.3,8.04,3.83,"Allen et al., 2012; Honisch et al., 2013"
G. sacculifer,7,25.3,40,265,6.1,8.04,5,"Allen et al., 2012; Honisch et al., 2013"
G. ruber,5,25.7,33,184,4.5,7.99,3.88,"Allen et al., 2012; Honisch et al., 2013"
G. ruber,13,25.7,35.4,498,12,8.45,4,"Allen et al., 2012; Honisch et al., 2013"
G. ruber,7,25.3,40,265,6.1,8.04,5.03,"Allen et al., 2012; Honisch et al., 2013"
G. sacculifer,1,26,30,208,5.2,8.29,4.42,"Duenas-Bohorquez et al., 2009"
G. sacculifer,2,26,36,222,5.3,8.17,4.42,"Duenas-Bohorquez et al., 2009"
G. sacculifer,3,26,39,224,5.2,8.1,5.61,"Duenas-Bohorquez et al., 2009"
G. sacculifer,5,26,36,258,6.2,8.24,5.16,"Duenas-Bohorquez et al., 2009"
G. sacculifer,6,26,39,264,6.1,8.19,5.86,"Duenas-Bohorquez et al., 2009"
G. sacculifer,7,26,30,262,6.6,8.4,3.5,"Duenas-Bohorquez et al., 2009"
G. sacculifer,8,26,36,270,6.5,8.26,4.4,"Duenas-Bohorquez et al., 2009"
G. sacculifer,9,26,39,278,6.5,8.21,5.03,"Duenas-Bohorquez et al., 2009"
